funids	bacids	Sample 	Location	snowcover	Factor	SOM	CN	Moisture	pH
K-W-2-1-ms115	K-W-2-1-ms29	K.2.1	Kuhtai	yes	Kuh_yes			48.50299401	
K-W-2-2-ms116	K-W-2-2-ms30	K.2.2	Kuhtai	yes	Kuh_yes			45.94059406	
K-W-2-3-ms117	K-W-2-3-ms31	K.2.3	Kuhtai	yes	Kuh_yes			21.78217822	
K-W-2-4-ms118	K-W-2-4-ms32	K.2.4	Kuhtai	yes	Kuh_yes			17.75147929	
K-W-2-5-ms245	K-W-2-5-ms188	K.2.5	Kuhtai	yes	Kuh_yes			65.53106212	
K-W-2-6-ms246	K-W-2-6-ms189	K.2.6	Kuhtai	yes	Kuh_yes			52.89421158	
K-W-2-8-ms248	K-W-2-8-ms191	K.2.8	Kuhtai	yes	Kuh_yes			61.46245059	
K-W-2-10-ms120	K-W-2-10-ms34	K.2.10	Kuhtai	yes	Kuh_yes			60.75697211	
K-W-2-11-ms121	K-W-2-11-ms35	K.2.11	Kuhtai	yes	Kuh_yes			43.11377246	
K-W-2-13-ms123	K-W-2-13-ms37	K.2.13	Kuhtai	yes	Kuh_yes			21.4	
K-W-2-14-ms124	K-W-2-14-ms38	K.2.14	Kuhtai	yes	Kuh_yes	5.099009901		21.66998012	3.94
K-W-2-15-ms125	K-W-2-15-ms39	K.2.15	Kuhtai	yes	Kuh_yes			36.8	
K-S-2-1-ms250	K-S-2-1-ms193	K.2.1	Kuhtai	no	Kuh_no		9.083922836	34.53093812	
K-S-2-2-ms251	K-S-2-2-ms194	K.2.2	Kuhtai	no	Kuh_no		19.31210289	12.12723658	
K-S-2-4-ms252	K-S-2-4-ms195	K.2.4	Kuhtai	no	Kuh_no		13.77969397	36.32734531	
K-S-2-5-ms253	K-S-2-5-ms196	K.2.5	Kuhtai	no	Kuh_no		29.14610299	62.8742515	
K-S-2-6-ms126	K-S-2-6-ms40	K.2.6	Kuhtai	no	Kuh_no	87.72315036	23.66427045	62.027833	3.48
K-S-2-7-ms127	K-S-2-7-ms41	K.2.7	Kuhtai	no	Kuh_no		12.28688566	37.1257485	
K-S-2-8A-ms128	K-S-2-8A-ms42	K.2.8	Kuhtai	no	Kuh_no				
K-S-2-10-ms130	K-S-2-10-ms44	K.2.10	Kuhtai	no	Kuh_no		29.50670607	46.52087475	
K-S-2-11-ms131	K-S-2-11-ms45	K.2.11	Kuhtai	no	Kuh_no	93.85321997	23.52727932	62.42544732	3.37
K-S-2-12-ms132	K-S-2-12-ms46	K.2.12	Kuhtai	no	Kuh_no		16.08048489	45.27162978	
K-S-2-13-ms133	K-S-2-13-ms47	K.2.13	Kuhtai	no	Kuh_no		20.03411485	65.60636183	
K-S-2-15-ms255	K-S-2-15-ms198	K.2.15	Kuhtai	no	Kuh_no		22.85779054	57.68463074	
K-S-2B-ms256	K-S-2B-ms199	K.2.2B	Kuhtai	no	Kuh_no		15.64799196	70	
PRA-W-1-1-ms257	PRA-W-1-1-ms200	PRA 1-1	Praxmar	yes	Pra_yes	13.54867257		30.13972056	4.02
PRA-W-1-2-ms258	PRA-W-1-2-ms201	PRA 1i-1	Praxmar	yes	Pra_yes	10.87321164		46.74556213	
PRA-W-1-3-ms134	PRA-W-1-3-ms48	PRA 1.3	Praxmar	yes	Pra_yes				4.21
PRA-W-3-3-ms136	PRA-W-3-3-ms50	PRA 3	Praxmar	yes	Pra_yes	18.6338954		38.14229249	
PRA-W-3-2-ms135	PRA-W-3-2-ms49	PRA 3.2	Praxmar	yes	Pra_yes				3.69
PRA-W-4-2-ms137	PRA-W-4-2-ms51	PRA 4-2	Praxmar	yes	Pra_yes	49.35618067		66.2055336	3.43
PRA-W-4-3-ms138	PRA-W-4-3-ms52	PRA 4.3	Praxmar	yes	Pra_yes				4.24
PRA-W-4-4-ms139	PRA-W-4-4-ms53	PRA 4.4	Praxmar	yes	Pra_yes				
